_id,BETRIEBSTAG,FAHRT_BEZEICHNER,BETREIBER_ID,BETREIBER_ABK,BETREIBER_NAME,PRODUKT_ID,LINIEN_ID,LINIEN_TEXT,UMLAUF_ID,VERKEHRSMITTEL_TEXT,ZUSATZFAHRT_TF,FAELLT_AUS_TF,BPUIC,HALTESTELLEN_NAME,ANKUNFTSZEIT,AN_PROGNOSE,AN_PROGNOSE_STATUS,ABFAHRTSZEIT,AB_PROGNOSE,AB_PROGNOSE_STATUS,DURCHFAHRT_TF
1304293,14.04.2025,ch:1:sjyid:100061:2208-001,85:82,SOB-sob,Schweizerische Südostbahn (sob),Zug,2208,IR13,,IR,false,false,8509404,Buchs SG,14.04.2025 07:14,14.04.2025 07:14:29,REAL,14.04.2025 07:15,14.04.2025 07:16:26,REAL,false
1304304,14.04.2025,ch:1:sjyid:100061:2209-001,85:82,SOB-sob,Schweizerische Südostbahn (sob),Zug,2209,IR13,,IR,false,false,8509404,Buchs SG,14.04.2025 10:44,14.04.2025 10:43:49,REAL,14.04.2025 10:45,14.04.2025 10:45:02,REAL,false
1304315,14.04.2025,ch:1:sjyid:100061:2210-001,85:82,SOB-sob,Schweizerische Südostbahn (sob),Zug,2210,IR13,,IR,false,false,8509404,Buchs SG,14.04.2025 08:14,14.04.2025 08:13:54,REAL,14.04.2025 08:15,14.04.2025 08:15:08,REAL,false
1304326,14.04.2025,ch:1:sjyid:100061:2211-001,85:82,SOB-sob,Schweizerische Südostbahn (sob),Zug,2211,IR13,,IR,false,false,8509404,Buchs SG,14.04.2025 11:44,14.04.2025 11:44:35,REAL,14.04.2025 11:45,14.04.2025 11:45:17,REAL,false
1304337,14.04.2025,ch:1:sjyid:100061:2212-001,85:82,SOB-sob,Schweizerische Südostbahn (sob),Zug,2212,IR13,,IR,false,false,8509404,Buchs SG,14.04.2025 09:14,14.04.2025 09:15:04,REAL,14.04.2025 09:15,14.04.2025 09:15:37,REAL,false
1304348,14.04.2025,ch:1:sjyid:100061:2213-001,85:82,SOB-sob,Schweizerische Südostbahn (sob),Zug,2213,IR13,,IR,false,false,8509404,Buchs SG,14.04.2025 12:44,14.04.2025 12:44:21,REAL,14.04.2025 12:45,14.04.2025 12:45:04,REAL,false
1304359,14.04.2025,ch:1:sjyid:100061:2214-001,85:82,SOB-sob,Schweizerische Südostbahn (sob),Zug,2214,IR13,,IR,false,false,8509404,Buchs SG,14.04.2025 10:14,14.04.2025 10:14:10,REAL,14.04.2025 10:15,14.04.2025 10:15:21,REAL,false
1304370,14.04.2025,ch:1:sjyid:100061:2215-001,85:82,SOB-sob,Schweizerische Südostbahn (sob),Zug,2215,IR13,,IR,false,false,8509404,Buchs SG,14.04.2025 13:44,14.04.2025 13:44:32,REAL,14.04.2025 13:45,14.04.2025 13:45:04,REAL,false
1304381,14.04.2025,ch:1:sjyid:100061:2216-001,85:82,SOB-sob,Schweizerische Südostbahn (sob),Zug,2216,IR13,,IR,false,false,8509404,Buchs SG,14.04.2025 11:14,14.04.2025 11:14:08,REAL,14.04.2025 11:15,14.04.2025 11:15:07,REAL,false
1304392,14.04.2025,ch:1:sjyid:100061:2217-001,85:82,SOB-sob,Schweizerische Südostbahn (sob),Zug,2217,IR13,,IR,false,false,8509404,Buchs SG,14.04.2025 14:44,14.04.2025 14:44:53,REAL,14.04.2025 14:45,14.04.2025 14:45:59,REAL,false
1304403,14.04.2025,ch:1:sjyid:100061:2218-001,85:82,SOB-sob,Schweizerische Südostbahn (sob),Zug,2218,IR13,,IR,false,false,8509404,Buchs SG,14.04.2025 12:14,14.04.2025 12:14:26,REAL,14.04.2025 12:15,14.04.2025 12:15:06,REAL,false
1304414,14.04.2025,ch:1:sjyid:100061:2219-001,85:82,SOB-sob,Schweizerische Südostbahn (sob),Zug,2219,IR13,,IR,false,false,8509404,Buchs SG,14.04.2025 15:44,14.04.2025 15:43:41,REAL,14.04.2025 15:45,14.04.2025 15:45:11,REAL,false
1304425,14.04.2025,ch:1:sjyid:100061:2220-001,85:82,SOB-sob,Schweizerische Südostbahn (sob),Zug,2220,IR13,,IR,false,false,8509404,Buchs SG,14.04.2025 13:14,14.04.2025 13:14:07,REAL,14.04.2025 13:15,14.04.2025 13:15:06,REAL,false
1304436,14.04.2025,ch:1:sjyid:100061:2221-001,85:82,SOB-sob,Schweizerische Südostbahn (sob),Zug,2221,IR13,,IR,false,false,8509404,Buchs SG,14.04.2025 16:44,14.04.2025 16:44:04,REAL,14.04.2025 16:45,14.04.2025 16:45:11,REAL,false
1304447,14.04.2025,ch:1:sjyid:100061:2222-001,85:82,SOB-sob,Schweizerische Südostbahn (sob),Zug,2222,IR13,,IR,false,false,8509404,Buchs SG,14.04.2025 14:14,14.04.2025 14:14:07,REAL,14.04.2025 14:15,14.04.2025 14:15:11,REAL,false
1304458,14.04.2025,ch:1:sjyid:100061:2223-001,85:82,SOB-sob,Schweizerische Südostbahn (sob),Zug,2223,IR13,,IR,false,false,8509404,Buchs SG,14.04.2025 17:44,14.04.2025 17:45:39,REAL,14.04.2025 17:45,14.04.2025 17:46:12,REAL,false
